Date,Open,High,Low,Close,Benefit,Tolerance,Month,Weekday
2019-08-09,1.118731,1.121982,1.118406,1.118718,-1.2999999999818712e-05,0.0035760000000000236,8,5
2019-08-12,1.120687,1.123028,1.116333,1.12085,0.00016299999999991321,0.0066949999999998955,8,1
2019-08-13,1.121831,1.122826,1.117818,1.121831,0.0,0.0050080000000001235,8,2
2019-08-14,1.117756,1.1191,1.113995,1.117706,-4.999999999988347e-05,0.005104999999999915,8,3
2019-08-15,1.114504,1.1159,1.109558,1.11433,-0.00017399999999989646,0.006341999999999848,8,4
2019-08-16,1.111136,1.111358,1.106746,1.111358,0.0002220000000001665,0.0046120000000000605,8,5
2019-08-19,1.109385,1.111,1.10882,1.109385,0.0,0.0021800000000000708,8,1
2019-08-20,1.108254,1.1099,1.106893,1.108316,6.20000000000065e-05,0.003007000000000204,8,2
2019-08-21,1.109853,1.110741,1.108881,1.109779,-7.399999999990747e-05,0.0018599999999999728,8,3
2019-08-22,1.109041,1.1114,1.106452,1.109078,3.700000000006476e-05,0.0049479999999999524,8,4
2019-08-23,1.108328,1.1149,1.1053,1.108402,7.400000000012952e-05,0.009600000000000053,8,5
2019-08-26,1.114305,1.11525,1.11084,1.114305,0.0,0.004410000000000025,8,1
2019-08-27,1.110112,1.111852,1.108881,1.110371,0.0002590000000000092,0.002971000000000057,8,2
2019-08-28,1.109004,1.110001,1.107444,1.109004,0.0,0.0025569999999999204,8,3
2019-08-29,1.108537,1.109016,1.10562,1.108586,4.899999999996574e-05,0.0033959999999999546,8,4
2019-08-30,1.105962,1.106097,1.09872,1.106195,0.00023300000000014975,0.007377000000000189,8,5
2019-09-02,1.099094,1.099747,1.095878,1.099179,8.499999999989072e-05,0.0038690000000001223,9,1
2019-09-03,1.096732,1.097731,1.09304,1.096852,0.00011999999999989797,0.004691000000000001,9,2
2019-09-04,1.097358,1.103499,1.097273,1.097454,9.599999999987396e-05,0.006226000000000065,9,3
2019-09-05,1.103753,1.108279,1.101831,1.103497,-0.000256000000000034,0.006448000000000009,9,4
2019-09-06,1.103631,1.105742,1.102123,1.103631,0.0,0.003619000000000039,9,5
2019-09-09,1.102074,1.106525,1.101613,1.102062,-1.1999999999900979e-05,0.0049120000000000275,9,1
2019-09-10,1.104728,1.10595,1.103181,1.104838,0.0001100000000000545,0.0027690000000000214,9,2
2019-09-11,1.104972,1.105828,1.098623,1.105033,6.0999999999866716e-05,0.007205000000000128,9,3
2019-09-12,1.101443,1.107751,1.092956,1.101346,-9.700000000001374e-05,0.014794999999999892,9,4
2019-09-13,1.105767,1.110914,1.105767,1.105828,6.100000000008876e-05,0.005147000000000013,9,5
2019-09-16,1.108414,1.108426,1.099493,1.10834,-7.399999999990747e-05,0.008932999999999858,9,1
2019-09-17,1.100401,1.106807,1.099288,1.100594,0.00019300000000010975,0.007519000000000053,9,2
2019-09-18,1.107432,1.107788,1.103753,1.107469,3.700000000006476e-05,0.004035000000000011,9,3
2019-09-19,1.103144,1.107499,1.102354,1.103144,0.0,0.005144999999999955,9,4
2019-09-20,1.104606,1.1069,1.09988,1.10485,0.000244000000000133,0.007020000000000026,9,5
2019-09-23,1.101953,1.102803,1.096828,1.101904,-4.899999999996574e-05,0.005975000000000064,9,1
2019-09-24,1.099372,1.101394,1.098515,1.099372,0.0,0.002879000000000076,9,2
2019-09-25,1.101564,1.101928,1.094835,1.101686,0.00012199999999995548,0.007093000000000016,9,3
2019-09-26,1.095182,1.096732,1.092514,1.09529,0.00010799999999999699,0.004218000000000055,9,4
